track_name,artist,genres,rock,metal,rock en español,hard rock,latin rock,nu metal,alternative metal,rap metal,glam metal,classic rock
"Save Me, San Francisco",Train,soft pop,0,0,0,0,0,0,0,0,0,0
Brick by Boring Brick,Paramore,"pop punk, emo",0,0,0,0,0,0,0,0,0,0
Alive - Chris Lord-Alge Mix,P.O.D.,"nu metal, christian rock, rap metal, rap rock, alternative metal",0,0,0,0,0,1,1,1,0,0
Take a Picture,Filter,"industrial rock, post-grunge, industrial metal, industrial",0,0,0,0,0,0,0,0,0,0
Don't Stop Believin',Journey,"aor, classic rock",0,0,0,0,0,0,0,0,0,1
Any Way You Want It,Journey,"aor, classic rock",0,0,0,0,0,0,0,0,0,1
Faithfully,Journey,"aor, classic rock",0,0,0,0,0,0,0,0,0,1
Rock And Roll All Nite,KISS,"glam rock, glam metal, hard rock, rock, classic rock",1,0,0,1,0,0,0,0,1,1
More Than a Feeling,Boston,"classic rock, aor",0,0,0,0,0,0,0,0,0,1
Always,Bon Jovi,"glam metal, rock",1,0,0,0,0,0,0,0,1,0
Born To Be My Baby,Bon Jovi,"glam metal, rock",1,0,0,0,0,0,0,0,1,0
I'll Be There For You,Bon Jovi,"glam metal, rock",1,0,0,0,0,0,0,0,1,0
This Ain't A Love Song,Bon Jovi,"glam metal, rock",1,0,0,0,0,0,0,0,1,0
Lie To Me,Bon Jovi,"glam metal, rock",1,0,0,0,0,0,0,0,1,0
Why Don't You Get A Job,The Offspring,"punk, skate punk",0,0,0,0,0,0,0,0,0,0
Livin' On A Prayer,Bon Jovi,"glam metal, rock",1,0,0,0,0,0,0,0,1,0
Peace Sells - Remastered,Megadeth,"thrash metal, metal, heavy metal, speed metal",0,1,0,0,0,0,0,0,0,0
Vortex - Remastered 2004 / Remixed,Megadeth,"thrash metal, metal, heavy metal, speed metal",0,1,0,0,0,0,0,0,0,0
Sweet Child O' Mine,Guns N' Roses,"rock, glam metal, hard rock, classic rock",1,0,0,1,0,0,0,0,1,1
Paradise City,Guns N' Roses,"rock, glam metal, hard rock, classic rock",1,0,0,1,0,0,0,0,1,1
